poeta,mes,año,categoria,llengua,texto,poetafullname
ES,enero,2020,finalista,castellano, esta noche mi espejo será el desencanto que viaje pegado a las luces de coches perdidos la nada en mis manos buscará un Amante que ahuyente el dolor embestidas  que me muerda el yugo que me ata hasta  hacerlo estallar en placer  hoy a pesar de todo he perdido mis  constantes ganas de morir las garras de  miedo a una araña en el propio dolor se  clavan deseos de vida la vida me animan  al rezo entregado a la brisa del mar  esta noche el mal no existe sé que  alguien luchará por mí y la imagen en la  niebla de aquel pero loco  por fin desaparecerá  esta noche quiero que prenda amor que  amor inyecte amor que trozos de amor  libre en mi cuerpo y que cubran el  silencio sordo los gritos que gritos te  llenen de orgasmos y el cielo se llena  de luz solo eso  los gritos mi cuerpo y la luz volverán a  hacer otra vez el resto no es más que  perfume de tiempo marchito mi madre  esta noche las palomas borrachas que  queden en el puerto me escucharán  atentas  también las moribundas las iniciadas  como yo las palomas más feas  les contaré que un día yo también tuve a  las que todas fuimos fuertes contra  desesperanza que abracen a sus hijos  chicos tienen que saquen el orgullo a  fuera que no mueran  esta noche al canal de este encanto  entre luces de coches perdidos orgasmos  prohibidos palomas borrachas claveles  abuelas lo gritaré mirando al mar  quiero logrado no tengo ni un puto oro y  no es triunfado try sigo la vida me  sonríe  mis manos lo llevan esposas que están  mutiladas por cócteles de horas pasadas  limpiando los baños de familias ricas  no vuelo a lejía abrazo mucho  escribo versos  mis manos reside en la herida del mundo  en el cuerpo de un hombre y reencuentran  refugio en mis hijos de roble tres  árboles fuertes que envuelven mi triste  existir hasta hacerme vivir lo que nunca  soñé que podría llegar a sentir  ser infinitamente amada  esta noche quiero que prenda amor que  morir de amor que trozos de mora liberen  mi cuerpo y que cubra del silencio sordo  caricias que gritos se llenan de risas y  el cielo se llenen de luz solo eso la  risa y la luz volverán a hacer otra vez  en mis hijos las manos de un alma  invadiendo mi cuerpo con palomas libres  el resto no es más que perfume de tiempo  marchito el resto no existe  a  ,Eli Sanz
AG,enero,2020,finalista,castellano,  a mariona  ayer mariona llegó a casa de mi mano  tenía niebla en los ojos y arena en los  labios pisaba los cristales con los pies  descalzos variables de una niña mariana  tiene 9 años  hay veces que la piel se pone flores por  vestidos y en sus ojos está la mañana y  en su balcón mira el sol con la cara  descubierta  pero él  ayer la tuve que cuidar para que no  viera las flores cortadas en la cera y  es que a veces del vértigo a crecer es  más fuerte que la caída y mariona cae  cae cae y se encuentra de niñas sola en  las escaleras y con lápices de colores 9 rotos entre las piernas cada calle y ve  como pinta girasoles tristes y se desata  los cordones cuando escuchan gritos y  por el suelo los cristales así que 9 vuelven a caer y de camino a la escuela  hacen la mano de su padre la rodilla  recoger las piedras de un parque es la  prieta la suelta y cae cae caer y cuando  se beben cuando se ve de noche entre  alcohol y peleas y nadie la amiga ni la  escucha que no veis estoy una niña así  que vuelve a caer y ya solo conocen los  abrazos de su abuelo los días sin  primavera y el agua gris entre las rejas 9 cae cae cae cae no entiende porque su  cuerpo está oscuro porque hay tanto  los ojos de sus padres kai kai kai y en  la última caída se encuentra arrinconado  en una esquina de la que quiso un día  hacer su casa y entre la respiración  abocada de lágrima contenida mariola  tiene 9 años y sigue cayendo  y sigue cayendo 9 así que ahora a todas las madres y  padres con una hija como mariona  decirles a un abrazo tarde es mejor que 9 uno nunca dado que un perdón tarde es  mejor que uno nunca pronunciado que los  errores pesan menos si son enmendados  ya todas las niñas como mariona aunque  se miren al espejo y vea su infancia  rota de siete años de mala suerte no se 9 los quita nadie pero que crece se crece  siempre porque tu mariona  y una niña  pero tienes 9 años  y no hay nada más fuerte  lo más bonito que una niña en cuerpo de  mujer con una mujer con corazón de niño    ,ainara garcia
PO,enero,2020,finalista,castellano,  canto de amonal  yo no escribo poemas sociales mi boca  sólo canta la rabia desgarrando esta nueva energía  que brota de la tierra a nuestros  muertos con sus trozos de rostro rotos  derramando pobreza por los poros  vestidos de mortaja y olvido para  recoger con nuestros brazos de mimbre  sus cuerpos de algodón que se desprendan 9 del cielo como un amanecer de nieve  nuestras muertas con sus labios de  sangre y sus cabezas rapadas vestidas de  mortaja y olvido para coser los pechos  cercenados que echaron a una tinaja con  formol de la carne a la interperie ahor 9 que el silencio y las niñas se deshagan  sus negras trenzas y los niños se  descansen para juntos cojear como una  milicia de golondrinas crucificadas por  el terror de una sola lengua  somos los nietos de los jornaleros del  loma o de eso a sol como bueyes conjugó  en la sien y traemos alma de olivo  hinojo y de adif irán los surcos de la  mano hemos heredado la bravura en la  mirada y desde las entrañas la  solidaridad con nuestros hermanos y 9 hermanas somos las nietas de un vientre  de mar con la identidad silenciada y la  sal por conserva y nuestra voz es canto  de nana y rabia madres y abuelas en  nuestras gargantas comiendo tierra y  lamento de desesperanza pero somos un  pobre orgullos de la nuestra lengua es  cortesía grados la memoria de los  bancales la hilera partido entre  volantes cannes de madres advent y la  mirada compra cesa así que ya es hora de  que crédit en como castañas ardiendo las  nucas de los traidores sobre el frío  canto de la pila bautismal hasta  convertirla en una sopa enorme para  ofrecerle al silencio su incómodo eco  que sabemos que nuestros muertos no  descansan en paz porque bajo tierra la  lucha de clase sigue diferenciando entre  tumba fosa común y cuneta que sabemos  que nuestra virtud no  y no hacer de las migajas panes con  memoria sino haber crecido mutilamos y  convivir con los sepultureros de  despliego y la lavanda que las hijas  encendidas caminen descalzos sobre las  cenizas rugiendo ante la geografía de la  muerte y le pongan al futuro la mirada  que separe la piel fría de lo terrible  que la victoria comienza donde acaba  este poemas todo poeta entiende la 9 responsabilidad que esconde el sendero  de hambre y sangre que dejaron las  frentes abiertas como granadas de  octubre que se deben a ver los bancales  de arriba si los montes y escribir 9 también sobre la belleza de cuchillos y  hojas en cuellos de escarcha no yo no  escribo poemas sociales porque mi tierra  alicante debería oler a patria y a 9 orgullo a manos cebolla y siembra y sin  embargo huele a cáncer tradición y  tuberculosis no yo no escribo poemas  sociales porque como dicho enrique  falcón en el estado español hay más  presas por delitos de pobreza que  lectoras de poesía y ellas no necesitan  poesía sino justicia yo no escribo  poemas sociales ni soy la voz de nadie 9 porque todavía no soy digno de ser  invitado  casa de los pobres  no no  ,pablowski
GC,enero,2020,ganador,castellano,hiciste sentir raro si no es ahora que  está como caído en mi nombre al pie de  mí y bloquea y pregunta a dios porque  nadie si no es ahora cuando moriré  leopoldo maría panero  angustia vital quemazón en el pecho frío  en los pies humedad en los ojos en las  mejillas recuerdo disco rayado vela  apagadas sobre mi maestra romper la hoja  romper el gob y lento cádiz corromper mi  alma alma en los pies  pero se vote el ies cartas sobre la mesa  cara apagada sueño encendido casi ceniza  romper la puta canción feliz y ahora  suena romper mis penas mi techo mi alma  alma en los pies romper mis pies caminar  seguir morir de dolor recrearme escribir  romper la taza en la que toma una  infusión para parecer una persona normal  porque no soy una persona normal romper  la cuchara que un puto culo para  clavárselo al poema a ver si así el  romántico tonto humano del todo que me  conforma se muere y me deja tranquilo  con la nada las de sus ojos conformes  matar al miedo matar al sueño matar al  dueño dios no ha muerto sentimiento de  culpa y que si no te quiero perdonar si  me has clavado puñal en la espalda a  millón material y me has hecho sentir  más y escribir más y que si eres musa y  que si no quiero perdonarte  y que es pide amor y que si le amo y le  odio a la vez y que si le pollo y le  temo a la vez y que es tiene sueño sólo 9 le sueño y no me atrevo ni a mirarle y  que si sueño con romperme mil pedazos y  que existe y que me tragué jce y que se  soñó con romper mi alma y que si sueño  con un cuchillo y un hilo rojo filo  negro y caliente de tus ojos de mi frío  pecho 9 ojalá frío pecho pecho en el suelo suelo  escribir mejor hoy alma suelo pies ojos  culpa rompo pena alba suelo pies ojos  culpa rompo pera alma suelo piel ojos  culpa ron ofelia garcía nito muero  así que suficiente tengo con escribirme  muchas gracias    ,german chocero
PW,diciembre,2019,finalista,castellano,  iluminas mis vueltas a casa porque todas  sabemos que nunca son fáciles y aprieto  los párpados pretendiendo pensar cosas  bonitas y lo consigo aquella primera vez  en la que de verdad tome abrazada mis  monstruos y no me dieron miedo aquella  Noche en la que puse puntos finales y  suspensivos a tantos interrogantes  y entonces vuelvo a casa  solo sana y salva que somos lo más  hambrientas y navegamos descaradamente  por la piel de nuestros opresores que no  nos lo discutan que somos las locas  estas que van por la calle más cuentas  que nadie  y no nos contamos ni un pelo 9 literalmente tampoco si no nos da la  gana ahora que ya no nos callamos ahora  que decidimos ahora que radicamos  nuestros miedos ahora que nos reprimimos 9 cada vez menos ahora que se nos puede  resistir hemos hecho lo más difícil que  es aguantar y tragar en contra de  nuestra propia libertad ahora ya no nos  pueden parar que no estamos mendigando  nada porque todo lo que reclamamos es  nuestro que nacimos siendo seres humanas 9 como vosotros y nos pertenece en los  mismos derechos y que nos llamen  histéricas cada vez que gritemos  nuestros derechos que nos llamen  radicales cada vez que nos pongamos 9 firmes y nos amemos que digan lo que  quieran porque el machismo ya no nos  dejará atadas de manos ya no  que tengo sed  estoy además hambrienta de todo poco que  la transformación está en nuestras manos  que lo coges o lo dejas o lo dejas y te  olvidas o lo olvidas o te habrán pillado  que sigo teniendo sed más no lo dudo  jauría compartida que somos salvajes  pero fieles salvajes pero fieles que las  armas están ahí fuera a mi alcance 9 pese a no parecerme lo que no nos engaña    navegaremos como loba sedientas nuestra  condición de humanas  que sigo teniendo sed y esta vez podemos  saciar la  ,paula wiwe
PO,diciembre,2019,finalista,castellano,  la habitación  si le hubiera cortado las alas habría  sido mío pero así habría dejado de ser  pájaro y yo lo que amaba era el pájaro  josean h  nos advirtieron  la historia universal en carne viva como  precedente y nosotros ahí tumbados ante  la mediocridad del mundo como gea y  urano mordiéndole las entrañas a lo  imposible sin que el resto de los  mortales fueran testigos de nuestro  estudio y con esto  nos hemos atrevido a luchar contra la  hegemonía de la derrota  contradiciendo a tu instinto con el  hambre en la duda  yo tapando mis traumas con saliva y las  heridas en voz baja  ambos con el mismo miedo triángulo al  estrépito de un adiós silencioso entre  los dedos  me has ayudado a destruir los  constructos y reinventar los conceptos  sintiéndonos libres de escribir lo que 9 no está para no olvidar que fuimos y  gracias a eso por primera vez he elegido  la memoria antes que las cicatrices para  recordar y es que después de todo lo  aprendido no hubiese sido justo pedirte  que no te marchas es nunca por el pánico  a no saber dormir solo sintiendo la  silueta helada de tu ausencia entre mis  sábanas y es que me hiciste ver que  echar de menos o necesitar a alguien es  en realidad tiempo para estar conmigo  mismo conocerme y más tarde  como tú lo llamas  saber querer bonito  ahora  ahora me veo aquí preguntándome si  nuestra osadía de intentar reinventarnos  es igual de admirable que abrazarnos por  última vez como lo hicimos con una  sonrisa y si mirarnos la espalda  y luego intentamos lo intentamos y sólo  por eso vencimos lo intentamos y jamás  nos quedará la duda  así que por favor  por favor  no te sientas culpable por la libertad  extrema de tus alas porque me han  enseñado que amar no es proyectar me en 9 otras sino sentirme cielo ámbar en buró  de incierto de golondrina sin mirar el  precipicio  y sabes 9 creo que puedo conseguirlo titánica  aunque me encantaría que estuviese estoy  aquí viéndome temblar ante la inmensidad  para poder coger tu mano y decirte  ayúdame a mirar  sí  ,pablowski
ES,diciembre,2019,finalista,catalan,,Eli Sanz
IG,diciembre,2019,ganador,castellano,  diario de a bordo día  o punto  indeterminado en el mar mediterráneo  seguimos en el barco sentados frente al  mar las piernas encogidas por el frío  sentados frente al mar que es un espacio  sombrío donde poder perder una vida y no  lamentar los días después nos tapamos  las muñecas y los dedos frágiles de los  pies con la chaqueta de cuadros rojos de  papá el mar nos mira papá no nos ve el  mag nos mira como si quisiera a  tragarnos en un simple movimiento de  acordeón verde azulado e incluirnos  despedazarnos tragarnos nos mira en  pálido y nosotros también miramos hacia  el mar arrecifes en las entrañas brazos  de coral llanto en las escamas sin  ninguna otra pretensión que evitar  cerrar los ojos y sabe dios que más dios  mío tu dios y quizá preguntarnos quiénes  somos nosotros para merecer algo más que  oxígeno en las costillas en  desacompasado movimiento de subida y  bajada como lo están haciendo ahora las  olas del mar 9 de reojo solo hacia nosotros sabemos  mirar el uno esperando a que el otro no  trae de alta ud sobre la náusea que  puebla este bar por sentados aquí  quietos aquí tumbados aquí aguardamos  con podredumbre a que de nuevo la noche  se vuelva espejo que empuje opacas  despedidas sobre el sofá donde papá nos  estará esperando con un vaso de agua 9 medio vender sus diminutos ojos  intentando adivinar los cuerpecitos en  modelitos que nunca volverán  y agonizando de rabia mezquina yo aquí 9 sentado frente al mar tengo hambre o  quizás sed o cualquier otra necesidad  nacida del más puro instinto humano  menos de aquella de poder regresar a un  hogar porque esta no la sentiremos nunca  más verdad mamá  y por respuesta recibo el eco de las  olas bandada de gaviotas del tiempo se  agitan de encanta el cielo es un manto 9 negro y de de estrellas en cascadas y el  hogar un camino arrancado de cuajo  rodeados como estamos después de tantos  días de este inmenso mar silencio más  silencio me escuchas mamá  abres la boca para decir que la historia  será comprendida solo después de ser 9 escrita ayer si lanzas una piedrecita  contra el vacío que no provoque ruido  frente al estruendo de esta sociedad  blanca que nos rechaza hablando de  nosotros como si ya hubiésemos nacido 9 muertos mamá abres la boca como fosa en  mitad de masacre en un mundo repleto de  absurdos combates hijo mío el ser humano 9 es como un loco empedernido al volante y  su supuesta solidaridad un cuchillo de  doble filo que reparte epidemias  tentando a medias una frontera de rojo 9 maldita plegaria de lobos no  de hablar  del infierno vosotros en la era de la  ira flexible desproporcionadamente  anfitriona que nos expulsa a bocajarro  de nuestras vidas para hacernos morir de  rodillas sentados como estábamos  frente al mar  ,isa garcia
AA,noviembre,2019,finalista,castellano,  para poder para hoy día su actitud marc  morial e condena date cuenta que tu  estructurados ya no sea por la tonta  perpetuar decrepitud tampoco pero espera  la figura rodea en la que imagen a    que haya poder callar es cosa mía mira  que te incorpore a cómo se desordena mi  mandíbula en mi patoja la persona a la  que le gusta estar bajo la luz de mirat  mo esperas de desventura no deriva de  misioneras  pues yo lloro cuando los rayos en el  artículo muestran por rayas de medio  pollo la imagen de cómo están  retorciéndose tus labios y mandíbula  pues llega tanta y ahora que ahora voy a  morir el año que cada partícula me grita  poniente así que tu pantalla o la uso de  base que tu cobardía hace más desigual  que usted yo 30 caminante  de artistas y trastornos de trastornado  trataría torturándolos en turnos tirones  con tu exteriores del mito totalitarismo  el diente tardar el criticismo que  forzando tu tragedia  mientras tanto tú que es patética tengan  doler como por última vez a mi auténtica  trata de reinterpretar este triunvirato  troceados entre tú y yo lo que estoy  pintando  mi reina recorro con nuggets su  respuesta de una resta y me irrita  retrocede en tripa ridículo restando  reúnen tu ruta repente en tu rueda el  resto del litoral de malo repercuta  váyase de que romperá las riendas  reveló  que no tendrá relegó pronto mi rencor a  raíz de mis respetos recreemos  recreativos restos de los de risas y  recuerdos si se va el martirio será un  martillo para el lance de atenea  si me voy  al final los dos moriremos hasta que me  duela  así que por ella hasta que el ataque  hasta que me meta hasta que la saque o  hasta que me meta yo por ella voy a  mantener esta paráfrasis este mantra  cual catarsis de un apuro no te destruye  que con la curva de tu boca como hago yo  hoy en taras al disturbio que hace de  bienestar excluya de un apuro no te  destruye que con la curva de tu boca  como hago yo ahuyentar hasta el  disturbio que a tu bienestar excluya   ,arjan alvarez
KV,noviembre,2019,ganador,castellano,,Karlos Viadel
ES,noviembre,2019,finalista,catalan,,Eli Sanz
