"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"1","cond-mat/9208001v1","1992-08-03 13:48:28","1992-08-03 13:48:28","Pressure Dependence of the Elastic Moduli in Aluminum Rich Al-Li
  Compounds","  I have carried out numerical first principles calculations of the pressure
dependence of the elastic moduli for several ordered structures in the
Aluminum-Lithium system, specifically FCC Al, FCC and BCC Li, L1_2 Al_3Li, and
an ordered FCC Al_7Li supercell. The calculations were performed using the full
potential linear augmented plane wave method (LAPW) to calculate the total
energy as a function of strain, after which the data was fit to a polynomial
function of the strain to determine the modulus. A procedure for estimating the
errors in this process is also given. The predicted equilibrium lattice
parameters are slightly smaller than found experimentally, consistent with
other LDA calculations. The computed elastic moduli are within approximately
10% of the experimentally measured moduli, provided the calculations are
carried out at the experimental lattice constant. The LDA equilibrium shear
modulus C11-C12 increases from 59.3 GPa in Al, to 76.0 GPa in Al_7Li, to 106.2
GPa in Al_3Li. The modulus C_44 increases from 38.4 GPa in Al to 46.1 GPa in
Al_7Li, then falls to 40.7 GPa in Al_3Li. All of the calculated elastic moduli
increase with pressure with the exception of BCC Li, which becomes elastically
unstable at about 2 GPa, where C_11-C_12 vanishes.
","Michael J. Mehl","","http://arxiv.org/abs/cond-mat/9208001v1","http://arxiv.org/pdf/cond-mat/9208001v1","http://dx.doi.org/10.1103/PhysRevB.47.2493","17 pages (REVTEX) + 7 postscript figures","","10.1103/PhysRevB.47.2493","cond-mat","cond-mat|hep-lat"
"2","astro-ph/9308047v1","1993-08-31 13:00:57","1993-08-31 13:00:57","Pre-main sequence lithium burning. I. Weak T Tauri stars","  We derive lithium abundances in 53 T Tauri stars (TTS), concentrating on
weak-line TTS. Our study gives the following results: 1)At luminosities $\ge
0.9 L\sun$ the Li abundances are remarkably uniform, with a mean value,
log~N(Li)=3.1, equal to the ""cosmic"" lithium abundance. 2)Significant Li
depletion appears below 0.5~L$\sun$ in the mass range 0.9-0.2 M$\sun$ and
increases towards lower luminosities. At the lower mass end (0.4-0.2 M$\sun$),
the observed luminosity of the Li burning turning point is about a factor 4
higher than predicted by the models. At masses 1.2-1.0 M$\sun$ the observations
imply less PMS Li burning than theoretically expected. Moreover we show that:
1)Low Li abundances appear only among stars with low $v\sin{i}$. Fast rotators
with masses around 0.8~M$\sun$ do not show evidence for strong Li depletion
towards lower luminosities as slow rotators do. 2)In a sample restricted to
only K5-K7 stars we find that the angular momentum spread before Li burning
begins is larger than a factor 10. Lithium depletion associated to angular
momentum loss during PMS evolution is not required to explain the observed
abundances. The efficiency of PMS Li burning in the mass range 0.9-0.7~M$\sun$
is reduced in the presence of rapid rotation.
","E. L. Martin|R. Rebolo|A. Magazzu|Ya. V. Pavlenko","","http://arxiv.org/abs/astro-ph/9308047v1","http://arxiv.org/pdf/astro-ph/9308047v1","","28pp; 10 figs, not included (available from R.Rebolo),
  Springer-Verlag LaTeX A&A style 1990, OACatania-93-011, A&A 282 (1994) 503","","","astro-ph","astro-ph"
"3","astro-ph/9311006v1","1993-11-01 20:43:34","1993-11-01 20:43:34","Primordial Nucleosynthesis in Conformal Weyl Gravity","  Recently conformal Weyl gravity has been considered as a candidate
alternative gravity theory. This fourth-order theory is attractive because it
is the only metric theory of gravity which is invariant under local conformal
transformations of the metric. We calculate the primordial light element
abundances in this theory. The major difference {}from the standard cosmology
is that the universe expands far more slowly throughout the nucleosynthesis
epoch. The production of $^4\rm{He}$ depends strongly on $\eta$, the ratio of
baryons to photons. For $\eta = 10^{-8}$ the mass fraction of $^4{\rm He}$ is
$X_4 \simeq 0.25$ and the number densities relative to hydrogen for $^2{\rm
H}$, $^3{\rm He}$ and $^7{\rm Li}$ are $n(^2{\rm H})/n({\rm H}) \simeq 9\times
10^{-20}$, $n(^3{\rm He})/n({\rm H})\simeq 4 \times 10^{-18}$ and $n(^7{\rm
Li})/n({\rm H}) \simeq 10^{-13}$. This value of $\eta$ corresponds to a baryon
mass density close to the standard model critical density. However, adjusting
$\eta$ to give a reasonable helium yield forces the deuterium and lithium
yields to be small enough that the theory cannot be reconciled with
observations.
","Lloyd Knox|Arthur Kosowsky","University of Chicago|University of Chicago","http://arxiv.org/abs/astro-ph/9311006v1","http://arxiv.org/pdf/astro-ph/9311006v1","","8 pages and 2 figures as a uuencoded compressed postscript file (388
  Kbytes). Fermilab preprint Pub-93/322-A","","","astro-ph","astro-ph|gr-qc"
"4","astro-ph/9312066v1","1993-12-30 00:30:15","1993-12-30 00:30:15","Enhanced Heavy-Element Formation in Baryon-Inhomogeneous Big-Bang Models","  We show that primordial nucleosynthesis in baryon inhomogeneous big-bang
models can lead to significant heavy-element production while still satisfying
all the light-element abundance constraints including the low lithium abundance
observed in population II stars. The parameters which admit this solution arise
naturally from the process of neutrino induced inflation of baryon
inhomogeneities prior to the epoch of nucleosynthesis. These solutions entail a
small fraction of baryons (\le 2\%) in very high density regions with local
baryon-to-photon ratio $\eta^h\approx 10^{-4}$, while most baryons are at a
baryon-to-photon ratio which optimizes the agreement with light-element
abundances. The model would imply a unique signature of baryon inhomogeneities
in the early universe, evidenced by the existence of primordial material
containing heavy-element products of proton and alpha- burning reactions with
an abundance of $[Z]\sim -6 to -4$.
","K. Jedamzik|G. M. Fuller|G. J. Mathews|T. Kajino","","http://arxiv.org/abs/astro-ph/9312066v1","http://arxiv.org/pdf/astro-ph/9312066v1","http://dx.doi.org/10.1086/173738","19 pages in plain Tex, 5 figures (not included) available by fax or
  mail upon request, ApJ in press, L2","Astrophys.J. 422 (1994) 423-429","10.1086/173738","astro-ph","astro-ph"
"5","cond-mat/9402041v1","1994-02-09 08:36:46","1994-02-09 08:36:46","Atomic Bose Gas with Negative Scattering Length","  We derive the equation of state of a dilute atomic Bose gas with an
interatomic interaction that has a negative scattering length and argue that
two continuous phase transitions, occuring in the gas due to quantum degeneracy
effects, are preempted by a first-order gas-liquid or gas-solid transition
depending on the details of the interaction potential. We also discuss the
consequences of this result for future experiments with magnetically trapped
spin-polarized atomic gasses such as lithium and cesium.
","H. T. C. Stoof","","http://arxiv.org/abs/cond-mat/9402041v1","http://arxiv.org/pdf/cond-mat/9402041v1","http://dx.doi.org/10.1103/PhysRevA.49.3824","16 PAGES, REVTEX 3.0, ACCEPTED FOR PUBLICATION IN PHYS. REV. A","","10.1103/PhysRevA.49.3824","cond-mat","cond-mat"
"6","astro-ph/9405053v1","1994-05-24 18:52:44","1994-05-24 18:52:44","Flare Production of $^6$Li in Population~II Stars","  Motivated by the recent report of a $^6$Li detection in the atmosphere of
HD~84937, we couple stellar evolution calculations with light isotope
production via stellar flares. We find that as a consequence of their small
convective envelope mass near the turn-off point, low-metallicity dwarfs and
subgiants may possess observable amounts of $^6$Li arising from such flare
activity. We point out an observational test which could discriminate between
flare produced $^6$Li and protostellar $^6$Li. In the $T_{\rm eff}$ range
$6000-6600$~K, the $^7$Li/$^6$Li ratio on the subgiant branch should increase
as a function of $T_{\rm eff}$ if flare production is important, whereas the
same ratio should be constant if a protostellar origin is the source of the
observed lithium. The absence of a flare produced variation in the
$^7$Li/$^6$Li ratio would allow for a more reliable inference of the --
cosmologically important -- atmospheric depletion mechanisms in stars.
","C. P. Deliyannis|R. A. Malaney","","http://arxiv.org/abs/astro-ph/9405053v1","http://arxiv.org/pdf/astro-ph/9405053v1","http://dx.doi.org/10.1086/176443","14 pages, 6 figs available on request, Tex, CITA/94/19","","10.1086/176443","astro-ph","astro-ph"
"7","astro-ph/9406017v1","1994-06-07 09:08:59","1994-06-07 09:08:59","Constraints to the Masses of Brown Dwarf Candidates from the Lithium
  Test","  We present intermediate dispersion (0.7-2.2 \AA ~pix$^{-1}$) optical
spectroscopic observations aimed at applying the ``Lithium Test'' to a sample
of ten brown dwarf candidates located in the general field, two in young open
clusters, and two in close binaries. We find evidence for strong Li depletion
in all of them, and thus infer lower mass limits of 0.065~M$_\odot$, depending
only slightly ($\pm$0.005~M$_\odot$) on the interior models. None of the field
brown dwarf candidates in our sample appears to be a very young (age
$<$~10$^8$~yr) substellar object. For one of the faintest proper motion
Pleiades members known (V=20.7) the Li test implies a mass greater than
$\sim$0.08~M$_\odot$, and therefore it is not a brown dwarf. From our spectra
we estimate spectral types for some objects and present measurements of Halpha
emission strengths and radial velocities. Finally, we compare the positions in
the H-R diagram of our sample of brown dwarf candidates with the theoretical
region where Li is expected to be preserved (Substellar Lithium Region). We
find that certain combinations of temperature calibrations and evolutionary
tracks are consistent with the constraints imposed by the observed Li depletion
in brown dwarf candidates, while others are not.
","E. L. Martin|R. Rebolo|A. Magazzu","","http://arxiv.org/abs/astro-ph/9406017v1","http://arxiv.org/pdf/astro-ph/9406017v1","http://dx.doi.org/10.1086/174900","20 pp.; 4 figs, available under request; plain LaTeX, ApJ in press,
  OACatania-94-007","","10.1086/174900","astro-ph","astro-ph"
"8","astro-ph/9410055v2","1994-10-18 22:46:30","1994-10-19 12:44:40","The Interstellar $^7$Li/$^6$Li Ratio","  We discuss the observational status of the interstellar lithium isotopic
ratio and its significance with respect to the galactic evolution of lithium.
","Martin Lemoine|Roger Ferlet","","http://arxiv.org/abs/astro-ph/9410055v2","http://arxiv.org/pdf/astro-ph/9410055v2","","Invited Talk at ESO/EIPC Workshop on Light Elements Abundances, Isola
  d'Elba 23-28/05/94, 13 pages, TeX file + 5 appended figures in uuencoded .ps,
  uses epsf.sty; postscript version of paper and figures also available through
  anonymous ftp corton.iap.fr /pub/from_users/lemoine/, or on request. IAP-477","","","astro-ph","astro-ph"
"9","astro-ph/9503081v1","1995-03-21 14:48:15","1995-03-21 14:48:15","Lithium Abundance of Halo Dwarfs Revised","  Lithium abundances in a sample of halo dwarfs have been redetermined by using
the new T$_{eff}$ derived by Fuhrmann et al (1994) from modelling of the Balmer
lines. These T$_{eff}$ are reddening independent, homogeneous and of higher
quality than those based on broad band photometry. Abundances have been derived
by generating new atmospheric models by using the ATLAS-9 code by Kurucz (1993)
with enhanced $\alpha$-elements and without the overshooting option. The
revised abundances show a remarkably flat {\it plateau} in the Li-T$_{eff}$
plane for T$_{eff}$$>$ 5700 K with no evidence of trend with T$_{eff}$ or
falloff at the hottest edge. Li abundances are not correlated with metallicity
for [Fe/H]$<$ -1.4 in contrast with Thorburn (1994). All the determinations are
consistent with the same pristine lithium abundance and the errors estimated
for individual stars fully account for the observed dispersion. The weighted
average Li value for the 24 stars of the plateau with T$_{eff}$$> $ 5700 K and
[Fe/H]$\le$ -1.4, is [Li] = 2.210 $\pm$ 0.013, or 2.224 when non-LTE
corrections by Carlsson et al (1994) are considered.
","P. Molaro|F. Primas|P. Bonifacio","Osservatorio Astronomico di Trieste|Dipartimento di Astronomia, Universita` degli Studi di Trieste|Dipartimento di Astronomia, Universita` degli Studi di Trieste","http://arxiv.org/abs/astro-ph/9503081v1","http://arxiv.org/pdf/astro-ph/9503081v1","","4 pages, LaTeX A&A(1990) style, uses psfig to paste five Postscript
  figures separately available, (gzipped, uuencoded)","","","astro-ph","astro-ph"
"10","acc-phys/9503004v1","1995-03-31 01:43:48","1995-03-31 01:43:48","MONTE CARLO SIMULATIONS OF MUON PRODUCTION","  Muon production requirements for a muon collider are presented. Production of
muons from pion decay is studied. Lithium lenses and solenoids are considered
for focussing pions from a target, and for matching the pions into a decay
channel. Pion decay channels of alternating quadrupoles and long solenoids are
compared. Monte Carlo simulations are presented for production of $\pi
\rightarrow \mu $ by protons over a wide energy range, and criteria for
choosing the best proton energy are discussed.
","R. B. Palmer|J. C. Gallardo|R. C. Fernow|Y. Torun|D. Neuffer|D. Winn","BNL|BNL|BNL|BNL|CEBAF|Fairfield Univ.","http://arxiv.org/abs/acc-phys/9503004v1","http://arxiv.org/pdf/acc-phys/9503004v1","http://dx.doi.org/10.1063/1.49336","Latex uses mu95.sty, 19 pages, 5 postscript figures. A postscript
  file can be seen at URL http://www.cap.bnl.gov/~cap/mumu/important.html
  Search for Publications","AIP Conf.Proc.352:108-124,1996","10.1063/1.49336","acc-phys","acc-phys|physics.acc-ph"
